family;name;class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;spore-print-color;habitat;season
Agaricaceae;Lepiota magnaspora;[p];[3, 5];[b, x];[y, d];[b, y, n];[t];[e];[c];[w];[4, 9];[0, 10];;;[w, n];;;[t];[z, e];;[d];[u, a]
Agaricaceae;Chlorophyllum molybdites;[p];[8, 30];[x, f];[y, d];[w, n];[t];[e];[c];[w, n, r];[5, 25];[15, 25];;;[w, n];;;[t];[l, m];;[g, m];[u, a]
Hydnangiacea;Laccaria longipes;[p];[1, 8];[x];[g];[o, n];[f];[a];[d];[p];[7, 15];[0, 10];;;[o];;;[f];[f];;[d, h];[a]
Hydnangiacea;Laccaria ohiensis;[p];[0.5, 2.5];[x, f, s];[g];[o, n];[f];[a];[d];[p];[1.5, 2.5];[0, 2];;;[o];;;[f];[f];;[d];[u, a]
Tricholomataceae;Clitocybe subconnexa;[p];[3, 9];[x, f];[s, k];[w, b];[f];[a, d];[d];[b];[2, 8];[0, 15];;;[b, g];;;[f];[f];;[d];[u, a, w]
Marasmiaceae;Omphalotus illudens;[p];[5, 20];[x, s];[s];[o];[f];[d];[c];[o];[5, 20];[10, 20];;;[o];;;[f];[f];;[d, g];[u, a]
Marasmiaceae;Gymnopus luxurians;[p];[3, 11];[x, f, s];[d];[n, p];[f];[x, s];[c];[w, b];[4, 7];[4, 15];;;[w, b, n];;;[f];[f];;[g, u];[u, a]
Mycenaceae;Mycena atkinsoniana;[p];[0.1, 3];[x];[s, t, g];[n, y];[t];[x];[d];[y, e];[2, 6];[2, 3];;;[n, e, y];;;[f];[f];;[l];[u, a]
Mycenaceae;Mycena galericulata;[p];[2, 4];[c, f];[s, g];[b, n];[f];[x, s];[d];[w, g];[5, 9];[2, 4];;;[g];;;[f];[f];;[d];[s, u, a]
Mycenaceae;Mycena niveipes;[p];[1.5, 7];[c, x];[g, h];[g, w];[f];[x];[c];[w];[4, 10];[2, 7];;;[g, w];;;[f];[f];;[d];[s, u, a]
Repetobasidiaceae;Rickenella fibula;[p];[0.2, 1];[c, x];[t, d];[o];[f];[d];[d];[w, o];[0.5, 4.5];[0.5, 1.5];;;[o];;;[f];[f];;[d];[s, u, a]
Mycenaceae;Xeromphalina tenuipes;[p];[2.5, 4.5];[x, f];[y, d];[o, n];[f];[s];[c];[w, y];[3, 7.5];[2, 4];;;[o];;;[f];[f];;[d];[s, u]
Physalaciaceae;Armillaria tabescens;[e];[1, 4];[x, f];[y, s, d];[n];[t];[d];[d];[w, b];[7.5, 20];[5, 15];;;[w, b, n];;;[f];[f];;[d];[u, a]
Tricholomataceae;Tricholoma aurantium;[p];[3, 9];[x, f];[t];[o, e];[t];[x];[c];[e, n];[4, 8];[10, 20];;;[w, o];;;[f];[f];;[d];[u, a]
Tricholomataceae;Tricholoma caligatum;[e];[4, 12];[x, f];[i, y];[b, n];[f];[a];[c];[w];[4, 9];[10, 30];;;[w, n];;;[t];[e];;[d];[u, a]
Tricholomataceae;Tricholoma magnivelare;[e];[5, 20];[x, f];[s, t, y, d];[w, n];[f];[a, s];[c];[w];[4, 15];[10, 50];;;[w];;;[t];[l, r, z];;[d];[u, a]
Tricholomataceae;Tricholoma venenatum;[p];[2.5, 7];[f];[s, y, d];[w, b];[f];[s];[c];[w];[3, 6];[10, 20];;;[w];;;[f];[f];;[d];[s, u, a]
Hygrophoraceae;Hygrocybe cantharellus;[e];[1, 3.5];[x];[s, k, d];[o, e];[f];[d];[d];[y, o];[3, 10];[2, 8];;;[y, o];;;[f];[f];;[d];[u, a]
Hygrophoraceae;Hygrocybe punicea;[p];[3, 15];[x, f];[t, s, y];[e, n, o];[f];[x];[d];[b, y, o];[3, 15];[0, 15];;;[o, y];;;[f];[f];;[d];[s, u, a]
Hygrophoraceae;Cuphophyllus virgineus;[e];[1, 7];[x, f];[t, h, d];[b, w];[f];[d];[d];[w];[2, 9];[0, 1];;;[w];;;[f];[f];;[d, w, g];[u, a]
Hygrophoraceae;Hygrophorus russula;[e];[5, 12];[p, x, f];[t, s, d];[b, n, p];[t];[a, d];[c];[w, p];[3, 7];[15, 35];;;[w, b, p];;;[f];[f];;[d, g];[u, a]
Russulaceae;Russula cessans;[e];[3, 8];[x, f];[d, s];[e, u];[f];[a];[c];[y];[3, 5];[0, 2];;;[w];;;[f];[f];;[d];[a]
Russulaceae;Russula compacta;[e];[3, 18];[x, f];[t, s, i];[w, y, n];[t];[a];[c];[w];[3, 10];[10, 35];;;[w, e, n];;;[f];[f];;[d];[u, a]
Russulaceae;Russula densifolia;[p];[4, 15];[x, f, s];[t, s, d];w, g, k];[t];[a, d];[c];[w, y, e, k];[1.5, 9];[10, 35];;;[w, e, k];;;[f];[f];;[d];[u, a]
Russulaceae;Russula earlei;[e];[3, 11];[x, f];[t, s, h];[y];[f];[a, d];[d];[w, y];[2.5, 7];[5, 25];;;[w, y];;;[f];[f];;[d];[u, a]
Russulaceae;Russula fragrantissima;[p];[7.5, 20];[x, f, s];[t, s];[y, n];[f];[a];[c];[w];[7, 15];[15, 60];;;[w, y, n, e];;;[f];[f];;[d];[u, a]
Russulaceae;Russula mariae;[e];[2, 10];[x, f, s];[s, y, d];[u, e, p, n];[f];[a, d];[c];[w, y];[2, 6];[5, 20];;;[u, p];;;[f];[f];;[d];[s, u, a]
Russulaceae;Russual mutabilis;[p];[4, 8];[x, f];[t, s];[o, n, e];[t];[a, d];[c];[w, e];[2, 6];[10, 30];;;[w, y, o, e];;;[f];[f];;[d];[u, a]
Russulaceae;Russula pectinatoides;[p];[2.5, 8];[x, f];[t, s, d];[y, n];[t];[x, s];[c];[b, y];[1.5, 7];[5, 20];;;[y, n, e];;;[f];[f];;[d];[u, a]
Russulaceae;Russula pulchra;[p];[5, 10];[x, f];[t, s, d];[e, p, o];[f];[a, d];[d];[w, b];[3, 7];[10, 20];;;[w, p];;;[f];[f];;[d];[u, a]
Russulaceae;Russula tenuiceps;[p];[7, 12];[x, f];[t, s];[e];[f];[a, d];[c];[w, y];[5, 9];[20, 25];;;[w, e];;;[f];[f];;[d];[u, a]
Russulaceae;Russula uncialis;[p];[2, 6];[x, f];[t, s, d];[p, e];[f];[a];[c];[w];[1, 5];[0, 1];;;[w];;;[f];[f];;[d, g];[u, a]
Russulaceae;Russula variata;[e];[5, 15];[p, x, f];[s, d];[r, u];[f];[a, d];[c];[w];[3, 10];[10, 30];;;[w, n];;;[f];[f];;[d];[s, u, a]
Russulaceae;Russula vinacea;[e];[4, 12];[x, f];[s, d];[e, u];[t];[a];[c];[w];[3.5, 8];[10, 30];;;[w, n];;;[f];[f];;[d];[s, u]
Russulaceae;Russula virescens;[e];[5, 15];[p, x, f];[s, y, d];[r, y];[f];[x, e];[c];[w];[3, 9];[20, 40];;;[w];;;[f];[f];;[d];[u, a]
